Order ID,Date,Month,Month_Num,Quarter,Category,Product,Unit Price,Quantity,Discount,Revenue,Profit,Region,City,Channel,Customer Segment,Customer ID
ORD-10084,2024-11-22,Nov,11,Q4,Technology,Webcam HD,105.68,4,0.15,359.31,155.83,East,New York,Online,Government,CUST-5901
ORD-10085,2024-11-23,Nov,11,Q4,Clothing,Formal Tie,28.0,1,0.1,25.2,12.6,West,Seattle,Online,SMB,CUST-6881
ORD-10086,2024-10-21,Oct,10,Q4,Technology,Webcam HD,60.54,1,0.1,54.49,24.58,North,Chicago,Direct Sales,Consumer,CUST-5689
ORD-10087,2024-04-27,Apr,4,Q2,Office Supplies,Label Maker,37.76,1,0.0,37.76,18.4,South,Houston,Direct Sales,Consumer,CUST-6061
ORD-10088,2024-08-13,Aug,8,Q3,Technology,Smart Speaker,122.24,3,0.0,366.72,174.64,West,LA,Online,Consumer,CUST-6994
ORD-10089,2024-09-28,Sep,9,Q3,Furniture,Bookshelf 5-Tier,163.74,2,0.0,327.48,112.6,West,Seattle,In-Store,SMB,CUST-2886
ORD-10090,2024-08-27,Aug,8,Q3,Clothing,Casual Sneakers,119.33,4,0.0,477.32,181.82,West,Seattle,Online,SMB,CUST-5332
ORD-10091,2024-10-01,Oct,10,Q4,Technology,Smart Speaker,116.28,5,0.05,552.33,223.06,East,New York,In-Store,SMB,CUST-6374
ORD-10092,2024-11-08,Nov,11,Q4,Technology,Wireless Headphones,155.25,1,0.0,155.25,58.18,West,LA,Online,Government,CUST-5986
ORD-10093,2024-09-09,Sep,9,Q3,Technology,USB-C Hub,83.36,1,0.0,83.36,36.39,West,LA,Wholesale,Consumer,CUST-9017
ORD-10094,2024-11-11,Nov,11,Q4,Furniture,Bookshelf 5-Tier,91.94,8,0.0,735.52,323.01,South,Atlanta,Online,Consumer,CUST-9920
ORD-10095,2024-11-26,Nov,11,Q4,Furniture,Filing Cabinet,190.38,8,0.2,1218.43,381.06,West,LA,In-Store,Consumer,CUST-1349
ORD-10096,2024-01-26,Jan,1,Q1,Office Supplies,Stapler Pro,48.66,1,0.1,43.79,21.84,South,Houston,Wholesale,Enterprise,CUST-3417
ORD-10097,2024-11-01,Nov,11,Q4,Technology,Mechanical Keyboard,177.88,1,0.05,168.99,59.21,North,Chicago,Online,SMB,CUST-4898
ORD-10098,2024-10-28,Oct,10,Q4,Technology,Mechanical Keyboard,112.88,2,0.0,225.76,100.41,North,Chicago,In-Store,Consumer,CUST-9408
ORD-10099,2024-10-30,Oct,10,Q4,Technology,USB-C Hub,86.27,2,0.0,172.54,61.11,East,Boston,In-Store,Enterprise,CUST-8847
ORD-10100,2024-07-24,Jul,7,Q3,Furniture,Ergonomic Chair,420.59,2,0.15,715.0,380.11,North,Detroit,In-Store,Enterprise,CUST-5505
ORD-10101,2024-11-15,Nov,11,Q4,Office Supplies,Label Maker,44.24,9,0.05,378.25,180.15,West,LA,Wholesale,Enterprise,CUST-4522
ORD-10102,2024-08-08,Aug,8,Q3,Furniture,Standing Desk,605.91,7,0.1,3817.23,1718.97,North,Detroit,Online,Consumer,CUST-7132
ORD-10103,2024-03-19,Mar,3,Q1,Office Supplies,Binder Set,19.61,5,0.1,88.25,46.48,North,Detroit,Wholesale,SMB,CUST-6400
ORD-10104,2024-12-09,Dec,12,Q4,Technology,Smart Speaker,136.36,8,0.15,927.25,411.95,North,Detroit,In-Store,SMB,CUST-9313
ORD-10105,2024-04-18,Apr,4,Q2,Technology,Gaming Mouse,57.11,1,0.0,57.11,19.34,East,New York,Wholesale,SMB,CUST-8030
ORD-10106,2024-10-14,Oct,10,Q4,Clothing,Leather Belt,49.54,2,0.05,94.13,51.15,East,New York,Online,Consumer,CUST-6062
ORD-10107,2024-06-22,Jun,6,Q2,Furniture,Standing Desk,833.93,6,0.05,4753.4,2138.1,South,Houston,Online,SMB,CUST-7163
ORD-10108,2024-08-02,Aug,8,Q3,Furniture,Standing Desk,584.03,6,0.1,3153.76,1122.08,North,Chicago,Online,Consumer,CUST-1815
ORD-10109,2024-12-11,Dec,12,Q4,Technology,Gaming Mouse,80.74,1,0.0,80.74,35.48,East,New York,Wholesale,Enterprise,CUST-8043
ORD-10110,2024-02-26,Feb,2,Q1,Technology,Gaming Mouse,73.45,3,0.0,220.35,109.04,North,Chicago,Online,Government,CUST-3248
ORD-10111,2024-05-10,May,5,Q2,Technology,Wireless Headphones,79.93,3,0.1,215.81,109.22,West,LA,In-Store,Consumer,CUST-6802
ORD-10112,2024-02-06,Feb,2,Q1,Furniture,Monitor Stand,52.38,1,0.0,52.38,16.75,East,Boston,In-Store,Consumer,CUST-7843
ORD-10113,2024-05-28,May,5,Q2,Technology,"Laptop Pro 15""",1285.48,2,0.0,2570.96,804.96,West,Seattle,Online,Consumer,CUST-4986
ORD-10114,2024-08-11,Aug,8,Q3,Office Supplies,Ballpoint Pens (24pk),11.96,2,0.0,23.92,11.13,East,New York,Online,Consumer,CUST-9693
ORD-10115,2024-09-18,Sep,9,Q3,Technology,Smart Speaker,84.11,6,0.2,403.73,156.91,South,Houston,Online,SMB,CUST-3842
ORD-10116,2024-11-04,Nov,11,Q4,Technology,Wireless Headphones,100.26,6,0.1,541.4,230.89,West,Seattle,Wholesale,Consumer,CUST-3473
ORD-10117,2024-08-13,Aug,8,Q3,Technology,Gaming Mouse,79.09,1,0.1,71.18,28.62,East,New York,Online,SMB,CUST-1932
ORD-10118,2024-07-07,Jul,7,Q3,Office Supplies,Ballpoint Pens (24pk),14.45,1,0.2,11.56,6.1,West,Seattle,In-Store,Government,CUST-1672
ORD-10119,2024-08-18,Aug,8,Q3,Clothing,Leather Belt,51.07,1,0.0,51.07,22.02,South,Houston,In-Store,Consumer,CUST-6626
ORD-10120,2024-02-13,Feb,2,Q1,Furniture,Standing Desk,418.57,4,0.1,1506.85,455.45,South,Atlanta,Online,SMB,CUST-7697
ORD-10121,2024-06-22,Jun,6,Q2,Office Supplies,Notebook Pack,25.42,3,0.05,72.45,38.65,North,Detroit,Online,Consumer,CUST-3463
ORD-10122,2024-06-19,Jun,6,Q2,Technology,Mechanical Keyboard,171.51,1,0.0,171.51,66.2,West,LA,In-Store,Government,CUST-6072
ORD-10123,2024-10-13,Oct,10,Q4,Furniture,Bookshelf 5-Tier,162.19,3,0.05,462.24,158.44,North,Detroit,In-Store,Enterprise,CUST-6060
ORD-10124,2024-04-02,Apr,4,Q2,Clothing,Work Trousers,105.86,6,0.0,635.16,313.37,South,Houston,Online,Consumer,CUST-2657
ORD-10125,2024-09-16,Sep,9,Q3,Office Supplies,Notebook Pack,23.25,2,0.15,39.52,15.63,West,LA,Online,Consumer,CUST-3712
ORD-10126,2024-08-12,Aug,8,Q3,Technology,Smart Speaker,116.64,6,0.0,699.84,307.19,East,Boston,Online,Enterprise,CUST-8684
ORD-10127,2024-04-09,Apr,4,Q2,Furniture,Desk Lamp,88.22,2,0.0,176.44,84.61,West,Seattle,Direct Sales,Consumer,CUST-3267
ORD-10128,2024-05-08,May,5,Q2,Technology,Gaming Mouse,92.2,1,0.05,87.59,45.93,North,Detroit,Online,Enterprise,CUST-8361
ORD-10129,2024-09-19,Sep,9,Q3,Technology,"Monitor 27""",326.51,7,0.15,1942.73,671.84,East,New York,Online,SMB,CUST-7126
ORD-10130,2024-04-30,Apr,4,Q2,Furniture,Ergonomic Chair,380.22,8,0.0,3041.76,965.13,East,New York,Online,SMB,CUST-8740
ORD-10131,2024-12-22,Dec,12,Q4,Office Supplies,Binder Set,28.77,1,0.0,28.77,15.25,East,New York,Wholesale,SMB,CUST-9647
ORD-10132,2024-08-04,Aug,8,Q3,Technology,Webcam HD,75.63,3,0.0,226.89,111.26,West,LA,Online,Government,CUST-9782
ORD-10133,2024-01-09,Jan,1,Q1,Office Supplies,Stapler Pro,40.56,4,0.0,162.24,89.17,East,New York,In-Store,Enterprise,CUST-2402
ORD-10134,2024-09-25,Sep,9,Q3,Clothing,Business Shirt,86.67,1,0.05,82.34,29.1,North,Detroit,Wholesale,Enterprise,CUST-7338
ORD-10135,2024-07-10,Jul,7,Q3,Technology,"Laptop Pro 15""",1041.84,10,0.0,10418.4,5102.08,North,Detroit,Online,SMB,CUST-6546
ORD-10136,2024-11-25,Nov,11,Q4,Technology,Gaming Mouse,97.96,4,0.0,391.84,197.66,South,Houston,In-Store,Government,CUST-1605
ORD-10137,2024-05-30,May,5,Q2,Technology,USB-C Hub,83.29,3,0.0,249.87,118.06,West,Seattle,Online,Consumer,CUST-4131
ORD-10138,2024-05-26,May,5,Q2,Furniture,Ergonomic Chair,552.03,6,0.0,3312.18,1718.63,East,Boston,Wholesale,Consumer,CUST-7334
ORD-10139,2024-06-22,Jun,6,Q2,Clothing,Wool Sweater,124.37,2,0.0,248.74,87.23,East,New York,In-Store,Enterprise,CUST-3956
ORD-10140,2024-10-06,Oct,10,Q4,Technology,Wireless Headphones,88.61,1,0.05,84.18,39.85,West,LA,In-Store,SMB,CUST-1693
ORD-10141,2024-06-29,Jun,6,Q2,Office Supplies,Whiteboard 4x3,90.96,4,0.2,291.07,91.11,North,Detroit,Online,Consumer,CUST-3621
ORD-10142,2024-01-16,Jan,1,Q1,Technology,Gaming Mouse,46.88,1,0.0,46.88,16.66,East,Boston,Online,SMB,CUST-3513
ORD-10143,2024-12-13,Dec,12,Q4,Furniture,Bookshelf 5-Tier,122.48,4,0.1,440.93,179.25,East,Boston,Online,SMB,CUST-2858
ORD-10144,2024-01-14,Jan,1,Q1,Office Supplies,Binder Set,30.43,4,0.15,103.46,53.86,East,Boston,Online,Consumer,CUST-9047
ORD-10145,2024-04-12,Apr,4,Q2,Technology,Wireless Headphones,133.25,5,0.15,566.31,248.45,North,Detroit,In-Store,Consumer,CUST-9882
ORD-10146,2024-05-28,May,5,Q2,Clothing,Casual Sneakers,115.94,4,0.15,394.2,153.96,East,New York,Online,Enterprise,CUST-3275
ORD-10147,2024-05-01,May,5,Q2,Office Supplies,Notebook Pack,18.14,1,0.05,17.23,7.46,South,Houston,Online,SMB,CUST-8842
ORD-10148,2024-09-26,Sep,9,Q3,Furniture,Filing Cabinet,272.5,1,0.0,272.5,83.63,North,Detroit,In-Store,SMB,CUST-3102
ORD-10149,2024-10-09,Oct,10,Q4,Office Supplies,Sticky Notes Bulk,30.36,1,0.0,30.36,12.88,North,Chicago,In-Store,SMB,CUST-3653
ORD-10150,2024-06-14,Jun,6,Q2,Clothing,Casual Sneakers,86.68,2,0.15,147.36,48.08,North,Detroit,Online,Government,CUST-5496
ORD-10151,2024-03-05,Mar,3,Q1,Office Supplies,Ballpoint Pens (24pk),13.03,3,0.0,39.09,12.3,South,Houston,In-Store,Consumer,CUST-6531
ORD-10152,2024-10-15,Oct,10,Q4,Technology,"Laptop Pro 15""",931.49,1,0.15,791.77,282.86,East,New York,Wholesale,SMB,CUST-1496
ORD-10153,2024-09-11,Sep,9,Q3,Clothing,Leather Belt,36.59,1,0.2,29.27,12.56,West,Seattle,In-Store,Consumer,CUST-3589
ORD-10154,2024-08-13,Aug,8,Q3,Furniture,Filing Cabinet,179.6,1,0.05,170.62,80.51,East,Boston,Direct Sales,Enterprise,CUST-7070
ORD-10155,2024-09-20,Sep,9,Q3,Office Supplies,Label Maker,38.67,2,0.0,77.34,33.84,South,Houston,Online,Government,CUST-7850
ORD-10156,2024-05-07,May,5,Q2,Clothing,Casual Sneakers,124.08,3,0.15,316.4,116.98,South,Houston,In-Store,SMB,CUST-9171
ORD-10157,2024-06-06,Jun,6,Q2,Furniture,Ergonomic Chair,579.83,2,0.05,1101.68,339.68,South,Atlanta,Online,SMB,CUST-8710
ORD-10158,2024-05-26,May,5,Q2,Furniture,Ergonomic Chair,399.82,2,0.15,679.69,250.21,West,Seattle,Online,Enterprise,CUST-4189
ORD-10159,2024-07-04,Jul,7,Q3,Office Supplies,Ballpoint Pens (24pk),11.86,3,0.0,35.58,14.68,North,Chicago,Direct Sales,SMB,CUST-6555
ORD-10160,2024-10-12,Oct,10,Q4,Clothing,Casual Sneakers,74.92,2,0.05,142.35,60.5,North,Chicago,Online,SMB,CUST-8761
ORD-10161,2024-09-22,Sep,9,Q3,Furniture,Desk Lamp,83.66,4,0.0,334.64,106.13,East,New York,Online,Consumer,CUST-5902
ORD-10162,2024-10-30,Oct,10,Q4,Technology,Gaming Mouse,83.27,4,0.0,333.08,115.27,East,Boston,In-Store,Government,CUST-6040
ORD-10163,2024-12-18,Dec,12,Q4,Office Supplies,Binder Set,24.37,1,0.05,23.15,7.11,South,Houston,In-Store,Enterprise,CUST-7229
ORD-10164,2024-03-16,Mar,3,Q1,Office Supplies,Stapler Pro,19.95,2,0.15,33.91,17.72,North,Detroit,Online,Enterprise,CUST-4340
ORD-10165,2024-07-29,Jul,7,Q3,Furniture,Desk Lamp,85.03,1,0.15,72.28,26.46,North,Chicago,In-Store,SMB,CUST-8837
ORD-10166,2024-09-26,Sep,9,Q3,Furniture,Standing Desk,628.83,2,0.05,1194.78,493.96,East,Boston,Online,Enterprise,CUST-5890
ORD-10167,2024-04-25,Apr,4,Q2,Clothing,Work Trousers,95.27,3,0.1,257.23,97.09,West,Seattle,In-Store,SMB,CUST-5480
ORD-10168,2024-05-27,May,5,Q2,Technology,"Monitor 27""",567.73,2,0.0,1135.46,526.53,South,Atlanta,Online,Government,CUST-2294
ORD-10169,2024-06-26,Jun,6,Q2,Clothing,Formal Tie,28.23,4,0.0,112.92,56.4,East,Boston,Online,Consumer,CUST-4920
ORD-10170,2024-05-04,May,5,Q2,Technology,USB-C Hub,70.9,3,0.0,212.7,95.01,West,LA,In-Store,Enterprise,CUST-3587
ORD-10171,2024-07-27,Jul,7,Q3,Office Supplies,Binder Set,29.46,4,0.0,117.84,36.42,East,Boston,In-Store,Government,CUST-2465
ORD-10172,2024-11-29,Nov,11,Q4,Office Supplies,Notebook Pack,27.52,1,0.0,27.52,9.07,South,Houston,Direct Sales,SMB,CUST-9116
ORD-10173,2024-04-05,Apr,4,Q2,Clothing,Work Trousers,101.6,1,0.0,101.6,41.45,North,Detroit,Online,Government,CUST-9901
ORD-10174,2024-09-25,Sep,9,Q3,Furniture,Standing Desk,824.53,1,0.0,824.53,413.75,North,Detroit,Online,SMB,CUST-5215
ORD-10175,2024-04-05,Apr,4,Q2,Technology,Smart Speaker,128.08,2,0.05,243.35,87.77,South,Atlanta,Wholesale,SMB,CUST-2421
